RegionID,SizeRank,RegionName,StateName,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023
394471,163,"Clarksville, TN",TN,173300,176633,179967,182317,183950,183950,184900,183267,182467,182667,186000,191433,197417,203050,206783,209300,210317,206984,202884,197867,196867,196933,196967,196800,197133,200467,206600,212717,217050,217067,215950,213283,211633,209667,208000,211000,217000,228633,235633,241633,243633,246967,251967,255000,256000,256000,264300,273300,279967,286633,294967,301633,303300,303300,304467,302833,301165,298632,296632,298300,304667,311667,316667,320000,322667,323333,318333,310667
395028,164,"Roanoke, VA",VA,228300,233267,238283,244800,247833,247700,244500,241133,239267,239283,237983,241633,244967,249967,256317,262983,267983,267817,267500,267500,267967,268283,266600,265092,261758,265092,269633,277142,276825,272825,266992,260642,257308,253623,253606,247923,244950,243308,244992,244992,246650,249550,251083,253750,252517,252650,250000,249983,257650,264300,278808,287125,293775,287925,285092,287208,291867,292033,288267,289283,291300,302966,313650,321650,325000,327333,328983,323983
394579,165,"Evansville, IN",IN,162700,166500,169833,171567,173233,173267,171600,169933,169233,165900,162567,161600,164050,166733,169033,169917,168933,167283,165650,163317,159318,156468,155768,157033,159850,167633,173050,176417,177000,178633,176933,173233,166267,162633,160167,158800,160117,165583,175583,182900,183233,181267,177800,177817,176483,174883,174067,175733,184167,191567,199867,201500,201567,198233,200267,200300,202000,199967,204633,210950,215550,220883,227867,236533,239700,237233,232000,225467
394747,167,"Kingsport, TN",TN,161533,162967,166300,169600,171433,173133,175500,177000,178567,177567,176233,175833,177500,182467,187967,194933,196814,196814,195148,193200,189867,186617,185883,187517,190633,194467,197800,201300,204633,208000,204667,198333,191567,189733,188067,186167,184633,184717,189217,193917,195500,192750,191417,194750,198331,198331,197998,197967,207967,221628,229995,233328,233300,234967,238300,240000,246665,251332,255998,258167,256800,257133,260933,267633,273966,278799,280467,282133
394741,168,"Kennewick, WA",WA,320633,326633,330092,331633,330000,324967,323267,321600,321433,321100,321100,324600,324967,328267,326633,329617,329617,334283,334100,335767,331100,330548,329748,334715,337467,343267,349966,359266,366300,369600,367633,365600,365530,370864,374197,370967,367800,367833,375167,385333,392000,394667,394967,404967,418300,434667,439633,439600,433267,436300,442000,448633,447267,445683,445717,446752,445969,442452,439767,439617,441467,453150,464167,473500,471833,472667,473333,474333
395179,169,"Utica, NY",NY,130800,134933,138267,141600,143300,143300,142600,140900,138250,133917,130583,129900,131567,134900,140933,145933,151283,153617,155283,153267,150083,147950,147400,148400,150367,153783,159283,162814,163281,162965,161267,161267,159900,159900,159917,161517,166383,173033,181133,186300,188417,187050,187017,184900,179900,174900,171233,168417,170083,171117,177267,182267,188767,192100,187100,183267,178300,175000,171633,171600,174900,181600,191600,198267,201567,199900,199917,204917
394660,170,"Hagerstown, MD",MD,191600,194933,201567,208267,213267,214933,214917,214183,212517,210833,208267,207967,208000,212633,216267,219567,219917,220100,221800,222517,222367,220700,220333,221967,223949,226616,228283,229633,228300,228500,227667,227667,225833,223333,223333,223300,224950,226617,234733,241750,250083,250333,254667,256333,258817,257483,257483,261633,268967,277283,283375,286042,284358,283300,286633,289783,291233,287867,287750,291267,296267,299900,299900,299900,299600,299600,299633,304967
394543,171,"Duluth, MN",MN,179767,189800,194667,198133,199767,199933,199933,199933,199933,201600,201300,206883,213567,223867,224917,224917,223117,223117,221133,214200,208400,203700,202458,208292,216325,229567,235900,237900,236333,233667,230300,223600,219600,214600,212783,211450,216450,223300,228300,228333,228300,227967,227967,226300,216300,206200,197867,204833,213267,229800,239800,249800,249967,249967,249633,247933,244600,244900,248267,258117,263133,269800,269983,274667,272967,276267,274900,271233
394937,172,"Olympia, WA",WA,319983,326650,330000,336633,338267,339898,339898,343231,346575,349908,346575,346600,353133,361500,361500,360000,363333,368825,370142,366808,370983,377667,379300,374633,368050,371383,379708,387292,390658,393991,396324,399324,399300,399600,399917,402283,405650,415633,426533,439850,449858,458292,464975,467167,471167,471166,474000,478333,486667,495000,505000,513333,519667,519665,520998,519665,516333,508317,504983,500300,500317,503983,513667,523417,531417,532717,532633,535633
394803,173,"Longview, TX",TX,173783,175433,179450,184017,187433,189250,187617,187283,187800,189433,189767,189900,192767,194833,197533,197367,197000,195333,192650,192283,192183,193283,193617,194350,194433,195800,197167,199300,199600,201600,203300,204817,204442,202442,200625,199158,199458,202042,208783,217358,224608,228042,232333,235917,238883,239017,237267,240550,244083,249383,252467,257600,262600,266567,268233,273233,279900,284767,284767,279800,276633,275000,276633,279967,283300,286750,285490,283790
