RegionID,SizeRank,RegionName,StateName,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023
395171,188,"Tuscaloosa, AL",AL,161663,158647,161800,166633,166583,162850,165417,168817,171067,166833,165833,170833,171967,173267,173933,173933,175633,173267,179967,181633,181667,176667,171667,168300,171633,176600,188267,189267,194267,194200,200100,198283,196608,191375,191892,197167,202167,211167,211000,217667,218333,217233,213900,215533,217467,215467,208833,206500,208500,216833,224000,234033,238117,237450,223833,213917,212083,215500,214667,213667,220500,223167,227667,224333,234150,242483,250783,243117
394483,189,"College Station, TX",TX,216815,219693,209838,212569,210886,223994,227160,238551,236964,225148,215854,210854,219504,219553,220574,222050,221593,222873,217400,224506,219281,228984,228907,229965,223908,225720,231068,232004,230494,231909,230034,231861,235048,242932,241512,241437,246175,249757,253497,252962,258865,259275,262420,265790,271273,266479,265108,260800,271207,284129,294528,299522,296854,308092,306874,303680,291454,287805,284095,287667,290316,296949,315396,315056,313238,300142,301818,296294
394732,190,"Kalamazoo, MI",MI,140383,137083,145333,151667,162167,160584,159584,155084,151667,148300,143967,144717,146917,151917,158833,163300,173300,174967,175000,170000,167150,166317,160150,156300,154800,163300,170000,174000,179333,187667,191333,192000,191967,191967,184633,174650,173650,182150,190483,198817,204983,212000,214333,212167,207667,206000,197500,191383,191383,200050,217000,226833,235500,232367,226033,225367,219833,209667,197250,194250,210883,219967,228860,233893,245086,249860,244860,242000
394811,191,"Lynchburg, VA",VA,165467,167133,165650,171383,173017,180433,172133,170500,165000,167000,163000,160333,160000,165000,170967,177633,179633,181150,175150,177117,174967,177967,176333,174200,173833,178983,186983,189724,196208,195991,199617,196317,203833,202000,203000,192817,198283,195600,204950,208633,220133,225967,223983,222500,227750,229417,229417,224667,224167,225833,236167,250000,261633,256633,246967,235333,232000,233908,235225,230225,230650,231667,243500,250833,255167,259967,256633,256633
394455,192,"Charleston, WV",WV,114167,116917,116917,124250,121333,122000,115533,118867,122700,120833,114917,103283,104950,107533,116633,119967,123967,127333,129000,121000,116000,115000,119000,120750,118167,117833,119083,120667,129300,133633,137967,134696,132030,129030,127333,119667,120917,122916,134416,140150,144817,147983,148583,151250,152417,152167,149500,144967,144450,145283,149983,149500,153000,153333,159000,156300,149633,138800,135500,134167,140333,138983,144150,148483,161652,161488,163488,151670
395240,193,"Yakima, WA",WA,187388,201221,208888,218000,220833,224000,223300,218300,219467,215500,211783,209783,210450,214500,222000,234874,251207,254540,253300,249950,252856,247556,242573,230150,231183,241183,252367,266633,272133,282967,282333,276167,268667,268700,276033,279333,283300,287633,292667,304333,310000,318333,315333,315500,312167,310167,305000,299200,295867,305867,321667,331667,341471,345805,346638,334000,334667,328833,321667,316500,311500,326167,327917,341250,339917,348333,354000,360650
394585,194,"Fargo, ND",ND,194233,203533,211050,213667,213367,208950,204650,202317,201650,201667,197917,196250,196217,197800,201133,206333,211833,216250,214417,213650,211400,210067,208167,205800,203667,206550,209900,218533,222950,228633,232633,234667,235833,229250,224250,220917,218483,224300,233383,246567,250750,251667,251650,247567,243550,243567,257650,256667,256667,246667,253667,261650,268317,267983,263683,263683,257017,251667,246667,255000,254333,265667,272850,289350,282683,279090,272257,272574
394387,195,"Binghamton, NY",NY,97658,102304,108974,120544,123448,124948,119667,116167,117733,113693,107527,99293,99355,105521,107355,114895,118395,128695,127050,122258,113942,113692,116150,115230,115397,116314,122317,122483,126733,131300,139133,140800,140833,140500,136667,133833,128000,128833,135833,142500,152873,155373,158373,156333,156667,153667,144610,138527,140527,146045,153595,159895,169283,167650,163517,160649,158566,159366,152517,149433,146133,151000,156167,168167,170000,176500,172833,173333
394609,196,"Fort Smith, AR",AR,108917,114167,118750,121333,122983,121483,116300,118300,115300,116983,112889,114472,117472,119500,121833,124767,126850,130767,125167,124250,120333,122333,121550,120967,121633,127000,131833,137833,138167,142333,144333,148667,145967,148283,148283,154317,154333,153333,156367,159467,165633,162433,161000,160817,164650,166150,165333,162035,163869,162202,168417,171750,179250,177833,176167,169500,166667,163333,165917,165917,165500,165583,170583,177000,182333,185667,187667,192967
394334,197,"Appleton, WI",WI,167567,169583,173667,170917,172583,173900,175483,177117,178133,172633,166917,162583,164250,168333,174817,184817,190483,192333,185767,181767,181767,181667,176500,173167,176333,182167,184417,190417,201417,208500,204317,202650,199150,199500,191167,182000,185333,192000,210333,220000,235000,240967,245933,239267,238283,233150,235349,230399,230899,238700,250333,263483,260320,260320,260170,256667,251667,243442,252775,246442,253083,252083,265083,266667,270000,275000,281667,280000
845160,198,"Prescott Valley, AZ",AZ,282917,281250,287917,291000,296000,293417,294083,293583,294500,291167,294417,295583,293250,297150,300483,311150,310250,309083,309917,314201,317501,320001,322633,327667,329083,331750,326750,328667,330000,351667,365000,379000,377333,378667,381333,391917,390583,394583,399000,424000,438000,446333,443833,445833,448267,454100,454100,456667,460000,475000,490000,497667,494667,485333,469333,463333,457333,454833,442167,440833,462333,477333,489242,491908,500242,507213,501913,493913
395161,199,"Topeka, KS",KS,131784,125618,135202,142719,147885,146334,141901,137901,137233,134833,134667,126000,125617,125950,136225,147555,155388,158746,154776,147593,144293,140391,145131,141464,145706,144652,151618,154302,156563,153284,152784,151158,156042,155255,154118,156380,165015,174047,178007,174569,176865,181738,183978,182650,179983,181667,178333,173333,167817,169483,185817,200000,209693,203531,201768,213393,211712,202123,185965,179140,192319,216207,230014,225572,209790,206315,210147,225843
394813,200,"Macon, GA",GA,108633,117800,119300,124000,125833,122500,122833,120133,119967,119300,109917,109917,104917,113250,121417,135750,140833,138667,131633,127633,122967,121333,122500,119483,126150,131650,137417,134833,138167,144083,145205,138038,138538,139500,138333,127833,121130,122797,136130,145000,151667,147333,144500,139500,141917,136417,128567,122150,124317,138167,145167,154667,151667,159667,154667,155083,143417,142750,134333,131000,126667,138333,143333,159000,160667,171333,159333,159333
395174,201,"Tyler, TX",TX,192708,192708,188985,191052,196450,198141,194663,187257,185455,187227,190688,192317,189226,187625,193054,196743,204190,211490,213852,208404,201890,201998,205851,207352,214107,214068,221748,224117,236402,238102,233285,228000,226967,233633,234656,231356,244689,249000,259498,252831,258915,259083,258198,262525,267358,265911,257871,258204,267087,272354,273154,280943,288627,305327,303189,312170,298837,289532,272896,263330,275292,290292,314025,321244,317982,308299,305822,297520
